Con,Contp,PPName,Reg,Agt,AgtId,Dat,Status,Agtp,Stage,GCh,GDis,GAge,GMig,GRa,GRe,GInd,GIndOth,GRef,GSoc
Afghanistan,Government/territory,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,"Resolution of Intra Afghan Peace Conference in Doha, Qatar (Doha Roadmap for Peace)",2232,7/8/2019,Multiparty signed/agreed,Intra,Pre,0,0,0,0,0,0,0,0,0,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,Agreement between the Islamic Republic of Afghanistan and Hizb-e-Islami ,1739,9/22/2016,Multiparty signed/agreed,Intra,SubPar,0,0,0,0,1,0,0,0,2,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,Agreement between the two campaign teams regarding the structure of the national unity government,1923,9/21/2014,Multiparty signed/agreed,Intra,Imp,2,2,0,0,0,0,0,0,0,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),864,7/8/2012,Multiparty signed/agreed,InterIntra,Imp,1,0,0,0,0,0,0,0,1,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference),848,12/5/2011,Multiparty signed/agreed,InterIntra,Pre,1,0,0,0,0,0,0,0,1,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,Istanbul Process on Regional Security and Cooperation for a Secure and Stable Afghanistan,849,11/2/2011,Multiparty signed/agreed,InterIntra,Imp,0,0,0,0,0,0,0,0,1,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,Renewed Commitment by the Afghan Government to the Afghan People and the International Community to Afghanistan (Kabul Conference Communique),709,7/22/2010,Multiparty signed/agreed,InterIntra,Imp,2,0,0,0,0,0,0,0,1,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,The Resolution Adopted at the Conclusion of the National Consultative Peace Jirga,708,6/6/2010,Multiparty signed/agreed,Intra,Pre,1,0,0,0,0,2,0,0,1,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,"Communiqué of the Conference on Afghan Leadership, Regional Cooperation, International Partnership (London Conference Communique)",707,1/28/2010,Multiparty signed/agreed,InterIntra,Imp,0,0,0,0,0,0,0,0,1,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,Statement of the International Conference on Afghanistan (Hague Conference),706,3/31/2009,Multiparty signed/agreed,InterIntra,SubPar,0,0,0,0,0,0,0,0,0,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,Declaration of the Special Conference on Afghanistan Convened under the Auspices of the Shanghai Cooperation Organization (Moscow Declaration),847,3/27/2009,Multiparty signed/agreed,InterIntra,Imp,0,0,0,0,0,0,0,0,0,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,Declaration of the International Conference in Support of Afghanistan (Paris Conference),705,6/12/2008,Multiparty signed/agreed,InterIntra,Imp,0,0,0,0,0,0,0,0,0,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,Rome Conference on Justice and Rule of Law in Afghanistan,1069,7/3/2007,Multiparty signed/agreed,InterIntra,Imp,0,0,0,0,0,0,0,0,0,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,Afghanistan Compact Building on Success (London Conference),1061,2/1/2006,Multiparty signed/agreed,InterIntra,SubPar,3,3,0,0,0,0,0,0,2,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,Berlin Declaration (Berlin Conference),1054,4/1/2004,Multiparty signed/agreed,InterIntra,Imp,0,0,0,0,0,0,0,0,1,0
Afghanistan,Government,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,Kabul Declaration of Good Neighbourly Relations,909,12/24/2002,Multiparty signed/agreed,InterIntra,SubPar,0,0,0,0,0,0,0,0,0,0
